作者,看板,標題,時間,分數,內容
kkaicd1 (夏天的熱浪),movie,[新聞] WWE性感健美女星【綁票追殺令】提槍抗敵!,Tue Oct 20 22:45:44 2020,7,"
新聞網址：https://cciitw.pixnet.net/blog/post/229975689
WWE健美女星提槍抗敵  《綁票追殺令》挑戰10天槍林彈雨拍攝

由《鋼鐵墳墓》（Escape Plan）、《紅翼行動》（Lone Survivor）億萬製作團隊傾力打造，布魯斯威利（Bruce Willis）領銜主演的《綁票追殺令》（Hard Kill），即將在本週五（10/23）於全台盛大獻映。這回，布魯斯威利將在片中飾演科技公司總裁，全力阻止反派組織毀滅世界。導演麥特伊斯坎達里（Matt Eskandari）透露本片演員默契極佳，只花費十天就順利拍攝完成，更不忘透露：「希望未來能在更大規模的電影中，與布魯斯威利再次合作！」值得一提的是，本片找來美國職業摔角（WWE）出身的性感健美女星娜塔莉伊娃瑪麗（Natalie Eva
Marie）演出。戲裡戲外都出身自軍事背景的她，拍攝前更花費許多時間進行訓練，讓她在片中完美變身衝鋒陷陣的女漢子，也讓導演大讚：「她比我還了解這個角色！」


《綁票追殺令》導演力讚跟布魯斯威利有默契  僅花10天光速殺青

《綁票追殺令》由曾入選史蒂芬史匹柏（Steven Spielberg）電影製片人競賽的麥特伊斯坎達里執導，也是他繼《終極獵殺令》（Trauma Center）、《惡夜救援》（Survive the
Night）之後，第三度與布魯斯威利合作。這回，導演讓布魯斯威利改當科技公司總裁，試圖阻止恐怖組織毀滅世界，更要救出他被綁架的愛女。導演在訪談時特別提到，劇組只花費十天時間，就完成本片拍攝：「通常大規模預算的電影，都會花十天拍一個場景，但我們在短短十天之內，就拍完無數槍林彈雨場面，和整整80多頁對話，很瘋狂，但我們還是達成了！」他也驕傲表示：「我認為最後的決戰戲超精采，演員也超有默契，我們只花費幾個小時就順利殺青！」


他也不忘讚嘆布魯斯威利：「很高興能有機會，看他出現在三部電影中，扮演三個完全不同的角色。能有機會跟他這樣的傳奇人物一起工作，絕對是一種榮幸。」他也同時透露未來發展的可能性：「希望未來能在更大規模的電影中，與布魯斯威利再次合作！無論遇到什麼挑戰，我相信我們的默契都能克服一切。」


WWE性感健美女星本色出演  《綁票追殺令》提槍力抗恐怖份子

值得一提的是，《綁票追殺令》女主角之一的娜塔莉伊娃瑪麗，本人出身自美國職業摔角，同時也是時尚設計師與健身模特兒，並在2017年演過《桃色入侵》 （Inconceivable）。出身軍事家庭的她透露：「我的父親是海軍陸戰隊隊員，我的哥哥目前正在陸軍服役，所以能在片中飾演特種部隊出身的女性角色，對我來說真的意義非凡。」她也笑說：「我是家中唯一的女生，所以這個角色真的跟我很像，我可以輕易和男生打成一片。」


導演也大讚娜塔莉：「她為這部電影接受很多訓練，是很稱職的女演員，這也是她的第一個重要角色。我欣賞她的奉獻精神，我們在製作前，更花費很多時間談論這個角色，以及她在片中的情感轉折，我相信她比我還更了解這個角色。」


這部由「地表最強光頭」布魯斯威利領銜主演的動作強片《綁票追殺令》，台灣將在本週五（10/23）盛大獻映！本片劇情描述科技公司總裁查默斯（布魯斯威利飾演），他的女兒創造出一個足以毀滅世界的量子AI系統，卻因此遭到恐怖組織綁架，並脅迫查默斯付出代價。查默斯雇用同為前海軍陸戰隊雇傭兵的米勒（傑西麥卡菲飾演），試圖深入敵營，卻意外發現誤入死亡陷阱。想要生存下去，只能團結抗敵。查默斯最終能否成功制裁歹徒、救出女兒呢？


欲知本片最新消息，
請上電影官方部落格http://cciitw.pixnet.net
與臉書粉絲團https://www.facebook.com/ccii.com.tw查詢。


--
※ 發信站: 批踢踢實業坊(ptt.cc), 來自: 49.216.188.75 (臺灣)
※ 文章網址: https://www.ptt.cc/bbs/movie/M.1603205147.A.1D1.html
"
ad56 (sup),movie,[好雷] 工作細胞!!特別上映版強『菌』來襲！,Tue Oct 20 23:24:25 2020,3,"
雷文防雷資訊頁



~*-*~*-*~*-*~*-*~*-*~*-*~*-*~*-*~*-*~*-*~*-*~*-*~



~~~~~~~~~~~~~~~~~~~ 雷文 主文分隔線 ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~

其實不太確定這篇應該放西洽還是這裡
但想說既然是去電影院看的電影還是放電影版吧 XD

意外的是影廳裡的小朋友沒有想像中多
男女比相對於上次去看的少女戰車 4DX 也平均很多
整體的觀影體驗是非常棒的

接著來說說劇情
我覺得電影版比起 TV 版本，每個細胞都更有自己的特性
TV 版有時候會讓我覺得他們好像只是被套進一個模式去做事（畢竟就是細胞擬人）
但電影版有明顯讓這種感覺稍微減輕
但電影版的紅血球戲份少好多嗚嗚

整部主要是益生箘大冒險 + 癌細胞的復仇
笑點很多，而且益生箘很可愛
最喜歡的部份是樹突狀細胞活化那段
真的很愛這種暖暖的好人可愛男子突然黑化的部分
而且大家一起崩潰真的很好笑
那整段都讓在影廳裡的所有人超躁動的 XD

看滿多人好像擔心進場的小朋友會很多影響體驗
其實做我前排的就是小朋友
我一開始也有點擔心他會東問西問然後很吵
但他看得超級認真，普通的在該笑的地方笑也幾乎沒有講話
比起很多突然拿手機出來滑的大人真的好多了
可以不用擔心的進場觀賞！！！

--
※ 發信站: 批踢踢實業坊(ptt.cc), 來自: 223.136.6.180 (臺灣)
※ 文章網址: https://www.ptt.cc/bbs/movie/M.1603207467.A.330.html
"
ATCTaiwan (ATCTaiwan),movie,[新聞] 《碧藍之海劇場版》裸男校園狂奔 乃木坂4,Tue Oct 20 23:30:38 2020,0,"
新聞網址：https://atctwn.com/2020/10/20/53267/

日本女團乃木坂46年僅19歲的成員與田祐希，擔綱女主角的真人電影《碧藍之海劇場版》
，故事講述大學生在潛水社團瘋狂又搞笑的校園生活。片中男主角們肉光四射，龍星涼與
犬飼貴丈賣肉露股演出，泳衣女王-小倉優香也不顧形象只穿內衣上陣，豐滿上圍包不住
；與田祐希則是大翻白眼，崩壞指數破表。電影在日本上映後，奔放毫無節制的表現，讓
與田祐希增加許多粉絲愛戴追蹤，更榮獲日本大學生電影滿意度排行榜NO.1！

與田祐希之前曾為電視節目【乃木坂工事中】尋找象徵幸運的海龜，順利取得初級水肺潛
水的執照，非常貼近劇中女主角-千紗的人物設定，她本人也相當喜歡千紗強勢的個性，
「千紗絕對不會輸給那些看起來很不妙的男人們！」但《碧藍之海》是個連原作者都覺得
很母湯的作品，與田祐希經紀人更發新聞稿聲明「真的很對不起我家藝人和粉絲們，對自
己家的藝人和乃木坂46的粉絲致上最深的歉意！」

此外，與田祐希推出的第二本個人寫真集<沉默的時間>，成功拿下今年度日本銷售冠軍，
出貨量達18萬本，足見目前當紅魅力。

《碧藍之海劇場版》作品描述主角北原伊織在升上大學後，寄宿在叔父所經營的潛水商店
「GRAND BLUE」，並且與表姐妹-奈奈華和千紗同住一個屋簷下生活。對青春大學新生活
充滿期待的他，被大學潛水社團「Peek a Boo」盯上，連熱愛二次元世界的友人今村耕平
也一起被扯進來，於是展開了一段結合潛水、裸體、酒精、打鬧、妄想、戀愛的荒謬大學
生活。看著青春肉體奮力全裸演出，肯定要進大螢幕體驗才夠爽快！《碧藍之海劇場版》
將於本周五，2020年10月23日全台熱血上映。


--
※ 發信站: 批踢踢實業坊(ptt.cc), 來自: 114.36.128.105 (臺灣)
※ 文章網址: https://www.ptt.cc/bbs/movie/M.1603207840.A.8FA.html
"
hvariables (Speculative Male),movie,[新聞] 《無聲》首週票房破750萬 戲院加廳,Tue Oct 20 23:49:08 2020,20,"
https://ent.ltn.com.tw/news/paper/1407043

《無聲》首週票房破750萬 戲院加廳

2020/10/20 05:30

https://img.ltn.com.tw/Upload/ent/page/800/2020/10/20/12.jpg
導演柯貞年（右起）、劉子銓、陳姸霏、劉冠廷勤跑《無聲》映後座談。
（CatchPlay提供）

〔記者吳琬婷／台北報導〕國片《無聲》取材自台灣特教學校的性侵事件，劇情深刻闡述
權力不對等及不被認同的恐懼，電影上週上映後，好評口碑不斷，奪下新片票房冠軍，全
台首週票房破750萬。在民眾熱烈支持下，戲院更是主動加廳放映，總計加開32場次，上
週末導演柯貞年率劉冠廷、劉子銓、陳姸霏勤跑映後座談，也被民眾踴躍提問和回饋感動
。

柯貞年說：「看到大家這麼願意提問，進而引發更多的討論非常開心，期待透過電影可以
讓大家重新思考跟獲得一些勇氣，讓社會多一點關注與同理，在遇到不公不義的事情時能
不再『無聲』。」

--
佛沒說小乘、大乘。上座部佛教馬哈希尊者帝釋所問經講記77頁拆穿假佛法大乘的騙局。
上座部佛教明昆《南傳菩薩道》是真釋迦牟尼佛的菩薩成佛之道 大乘是假菩薩成佛之道
妙法蓮華經、華嚴經、心經、金剛經、梵網經(菩薩戒)、圓覺經、楞嚴經是大乘假佛經。
阿彌陀佛 藥師佛 大日如來是大乘假佛       觀世音 維摩詰 龍樹 地藏王是大乘假菩薩
https://www.ptt.cc/bbs/soul/M.1584460614.A.E88.html
上座部佛教目犍連子帝須和那先破偽經大乘十方諸佛

--
※ 發信站: 批踢踢實業坊(ptt.cc), 來自: 114.45.76.6 (臺灣)
※ 文章網址: https://www.ptt.cc/bbs/movie/M.1603208951.A.EC1.html
"
ryuichigo (ドイツ~ ハグして，ハグ~),movie,[好雷] 消失的情人節,Wed Oct 21 00:03:34 2020,4,"
雷文防雷資訊頁



~*-*~*-*~*-*~*-*~*-*~*-*~*-*~*-*~*-*~*-*~*-*~*-*~



~~~~~~~~~~~~~~~~~~~ 雷文 主文分隔線 ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~




「時間對每個人都是公平的」


這句話我們耳熟能詳，但假如時間就像存在銀行裡的錢一樣，存著存著就會生出利息，這
個世界會變成什麼樣子呢？


電影是從郵局櫃員楊曉淇的日常開始，她就像大部分人一樣，在繁忙的城市中租著小套房
，把24小時當成48小時用，日復一日過著庸庸碌碌、一成不變的生活，畫面灰暗的色調、
不加修飾的構圖，看起來疲憊又真實。


某天楊曉淇遇到一個型男以為春天終於來了，卻在幾天後的情人節「遺失了整整一天」，
於是她開始尋找這個消失的情人節。


電影謎底揭曉是從公車司機阿泰的日常開始，阿泰從小就是個慢悠悠的人，做什麼都比別
人慢半拍，他每天都去郵局寄一封平信，某一天他在公車上醒來後，世界居然暫停了。


阿泰穿梭在這個除了自己，一切都靜止的世界，樹葉間隙灑下的陽光、漁港蚵寮的夕陽，
在阿泰的時間裡，世界變得溫柔起來。


用二十年的時間喜歡一個人，在世界暫停時，用一天的時間陪著那個人，在魔法快要消失
前，連要不要趁機親吻她，都能猶豫幾個小時。


或許正是阿泰這樣純情的人設，讓這個時間可以生出利息的世界觀，變得合理起來。


電影的結局，就請大家自己去電影院看吧。


如果這個世界，時間真的能生出利息，大家的時間會多一天還是少一天呢？


最後，關於本片男主角劉冠廷，我第一次認識他是在《陽光普照》這部片，他在片中既陰
鬱又殘暴，在那個角色身上感受不到人類的道德枷鎖，讓人毛骨悚然。


如果沒有看演員表，我完全想不到阿泰與菜頭是同一個人飾演，祝福他今年勇奪影帝。

--
※ 發信站: 批踢踢實業坊(ptt.cc), 來自: 223.138.37.40 (臺灣)
※ 文章網址: https://www.ptt.cc/bbs/movie/M.1603209816.A.629.html
"
generalfungi (香菇將軍),movie,[極好無雷] 精彩毫無冷場　看不見的目擊者 ,Wed Oct 21 00:10:20 2020,6,"
聽說有韓國版

但我沒看過，直接看日本翻拍版



《看不見的陌生人》優點:

1. 情節緊張刺激，兩小時的片長毫無冷場，咻一下就過去了

片中時不時穿插各種暴點與震撼鏡頭

令人印象深刻

2. 演員演技一流，帶入感很強

3. 反派兇狠狡猾冷靜，真的讓人有不寒而慄的感覺

4. 主角智商在線、表現優秀，只是偶爾會有過度的正義感

5. 日本常見的說教篇幅在這部只有一點點




最後爆一個無關劇情但我非常介意的點:

狗狗不會死，可放心觀賞



這部真的非常精彩，強力推薦




--
※ 發信站: 批踢踢實業坊(ptt.cc), 來自: 59.115.62.59 (臺灣)
※ 文章網址: https://www.ptt.cc/bbs/movie/M.1603210223.A.B54.html
"
shen0348 (臺中阿湯哥),movie,[新聞] 傑夫布里吉驚傳罹癌,Wed Oct 21 00:40:42 2020,13,"
https://bit.ly/3o8ade7

以【瘋狂的心】拿下奧斯卡最佳男主角大獎的好萊塢資深演技派男星傑夫布里吉，於美國
當地時間星期一在個人推特上對外宣告自己罹患淋巴癌一事。巨星罹癌消息一曝光，也讓
外界震驚不已。

布里吉先是在推特上幽自己一默，貼文提及他在經典代表作【謀殺綠腳趾】中飾演的男主
角「老兄」(The Dude)：「正如『老兄』會說的…新的鳥事總是會曝光的！」在這句前言
之後，布里吉才正式告知外界他罹癌一事：

「我已經被診斷出罹患淋巴癌，儘管這是重大疾病，但是有這麼棒的醫療團隊、同時預後
也很樂觀，對此個人覺得很幸運。我現在已經開始治療了，並且會持續推文讓大家知道我
的恢復狀況。」

在同一推文串的第二則推文中，布里吉則是特別感謝了他的親友與支持者，並且不忘鼓勵
粉絲要記得站出來，在即將舉行的美國總統大選中投下神聖的一票，文中還附上網站Vote
.org網址連結。

「我深深地感激那些愛我並支持我的家人與好友。謝謝你們替我祈禱以及你們的祝福。同
時，既然都在推文了，在這裡也要請大家記得要去投票，因為我們都在同一艘船上。」

新世代觀眾認識布里吉，大都是因為他在【鋼鐵人】中演出反派「鐵霸王」一角；不過布
里吉的知名代表作除了上述幾部，還有【電子世界爭霸戰】、【一曲相思情未了】、【越
愛越美麗】以及【真實的勇氣】等。

--
※ 發信站: 批踢踢實業坊(ptt.cc), 來自: 49.216.61.249 (臺灣)
※ 文章網址: https://www.ptt.cc/bbs/movie/M.1603212044.A.74D.html
※ 編輯: shen0348 (49.216.61.249 臺灣), 10/21/2020 01:09:19
"
vul3c9 (nope),movie,[討論] 因 #沉默 而 #無聲 的大人們後來怎麼了,Wed Oct 21 00:42:10 2020,123,"

大家都知道《無聲》是來自真實事件改編，
最近因為電影才有更多人關注這件事情，
我自己是覺得透過影像「說」故事是更令人震撼的，
也想知道後來故事怎麼發展。

以下資料來源：
https://www.facebook.com/hef.tw/photos/a.367428683413420/1761893043966970
那些因 #沉默 而 #無聲 的大人們
後來怎麼了(一)

南部某特教學校的那些老師後來怎麼了　／　張萍

很多朋友看過電影《無聲》後會問我們
「那些老師有被懲處嗎？」
「校長還在當校長嗎？」
「難道不能取消他們的退休金嗎？」

現實，遠比電影情節殘酷

人本在2011年9月21日召開記者會，揭發南部某特教學校集體性侵事件，協助家長進行國賠訴訟，總共有六件國家賠償案成立。

當時，該校周校長曾說：「人本亂講，不是128件，只有71件！」

結果，經過人本向監察院陳訴，監察院在2012年中公布調查結果，查出164件性平事件，並因長期隱匿不報等失職，共彈劾了：教育部中辦主任藍順德、科長羅清雲，督學林忠賓及南聰前後任校長林細貞和周志岳，以及各科室前後任主任及組長等共16人，是教育史上創舉！

然而，公懲會就像紙老虎，被彈劾人員之中高達6人不受懲戒，其餘10人也不過是降一級改敘或記小過，根本不痛不癢！

不僅如使，即使與造成的傷害相比，懲處已經如此輕微，這些失職人員仍然不服，繼續提申覆，結果如何，教育部也沒有向國人交代。

這個懲戒之輕，就比如：

被彈劾的林校長當年，他打電話，建議受害者的媽媽把女兒嫁給性侵她的男同學，來當作處理方式。林校長在2009年8月1日順利退休，拿到退休金。

李姓導師當年，李老師屢次收到受害女生求救信，卻都視而不見。任由小孩受害而知情不報，也只不過被記了小過。

全案沒有任何一個 #正職人員 被解聘，被解聘的都是 #約聘 的生輔員及管理員，正式職位的人負擔的責任，怎麼反而更輕微？

我們非常清楚，處理事件不能只是懲戒失職人員，於是我們 #要求專家團隊入校、 #要求修改性平法，也 #要求針對兒童遭性侵的狀況進行全國調查 找出預防、補救方法。

但，我們也知道，不懲戒失職人員，沒辦法劃下底線，沒辦法昭示政府不容許教育人員面對兒童受害而沉默無聲。

以上是我們就懲戒失職人員，所掌握的狀況，而政府不公開的部分，則需要關心事件後續的人一起要求 #教育部 要說明清楚，要樹立界線，要嚴懲失職不法。


==

希望有更多人一起來關注這件在台灣發生的事ＱＱ“


--
※ 發信站: 批踢踢實業坊(ptt.cc), 來自: 60.245.125.237 (臺灣)
※ 文章網址: https://www.ptt.cc/bbs/movie/M.1603212132.A.F95.html
"
CYKONGG (XXX),movie,[新聞] 艾米漢默想拍《紳士密令2》：我很樂意！,Tue Oct 20 05:53:13 2020,125,"
與亨利卡維爾再續基情！艾米漢默表態想拍《紳士密令2》：「我很樂意拍續集！」

https://i.imgur.com/nERcviC.jpg

說起擁有高大又帥氣的型男特工演員電影，絕對不能不提到英國風格名導蓋瑞奇（Guy Ri
tchie）在2015年推出的《紳士密令》（The Man from U.N.C.L.E.），故事背景定於1960
年代的冷戰時期，美國中央情報局CIA特務拿破崙意外被迫與「死對頭國家」蘇聯國安局K
GB特務伊利亞攜手合作，兩位性格完全不同的國家特工要一起阻止納粹餘黨T.H.R.U.S.H.
意圖引爆第三次世界大戰的陰謀，後來兩人找到了被綁架的核武博士專家愛女蓋比，發現
她也是英國軍情六處MI6的女特務，因此三位英、美、蘇主角組成了紳士局（U.N.C.L.E.
）一起阻止核災發生。

https://i.imgur.com/VwpES7C.jpg

《紳士密令》由DC「超人」演員亨利卡維爾出演風流瀟灑的美國CIA特工拿破崙蘇洛，相
較之下《以你的名字呼喚我》艾米漢默出演的蘇聯特工伊利亞科里亞金則嚴謹木訥，由於
劇中亨利卡維爾時常幽默跟艾米漢默拌嘴，兩人在開頭更於「廁所滾地激情肉搏」，讓不
少影迷笑說《紳士密令》 就是要來看這兩大高挑型男充滿化學反應的對戲畫面。

https://i.imgur.com/gBFUsl2.jpg

現在《紳士密令》兩大男主角之一、今年34歲美國男演員艾米漢默在接受最新訪問時，就
被問到了《紳士密令》拍得這麼棒，為何遲遲未出續集？這位身高達到196公分的帥哥男
星就直言：「我也搞不懂！相信我，如果有人問我想不想拍續集，而我確實時常被人們這
樣追問，我的答案一直都是『我希望有，我也很樂意拍續集。』第一部的電影編劇和製作
人Lionel Wigram曾和我討論過一些想法，我當下聽了的反應也是『聽起來很棒！不管你
有什麼點子，就讓我們盡快開始動工吧！』所以我只能說大家一起幫忙推進，希望有一天
我們真的能夠實現，我很願意去拍這部續集。」


▼兩位男主角艾米漢默、亨利卡維爾和英國名導蓋瑞奇的合照。
https://i.imgur.com/femBvzs.jpg


《紳士密令》女角也不容小看，其中飾演犯罪組織的女首腦「薇多莉亞」反派角色的女演
員，正是今年以英國大導演克里斯多福諾蘭新片《天能》知名度大開的澳洲女星伊莉莎白
戴比基。而主角三人組中的英國女特務「蓋比」則是由《丹麥女孩》女主角艾莉西亞薇坎
德（Alicia Vikander），她同時也是「萬磁王」麥可法斯賓達（Michael Fassbender）
真實生活中的妻子，你是否也希望看見原班人馬回歸拍攝《紳士密令2》 呢？

https://i.imgur.com/2VH7KRH.jpg

https://i.imgur.com/YZ0CAAk.jpg

亨利卡維爾和艾米漢默這兩位身高都超過185公分的英美兩大帥哥演員，希望能再一起回
歸拍攝續集《紳士密令2》！



https://reurl.cc/zzKpR7

--
※ 發信站: 批踢踢實業坊(ptt.cc), 來自: 101.12.23.126 (臺灣)
※ 文章網址: https://www.ptt.cc/bbs/movie/M.1603144395.A.F1E.html
"
lpbrother (LP哥(LP = Love & Peace)),movie,[新聞] 4大看點、驚人後座力 「無聲」金馬8項入,Tue Oct 20 06:39:00 2020,2,"
新聞網址：

4大看點、驚人後座力 「無聲」金馬8項入圍的秘密

2020-10-19 19:43聯合報 記者黃保慧／即時報導

金馬獎8項提名、現正熱映中的電影「無聲」，被封為今年後座力最強國片，15日上映後
在台北市及全台皆奪下新片票房冠軍，戲院更是主動加廳放映，總計加開32場次。「無聲
」究竟為何在近期被廣泛討論，4大看點一探究竟。

「無聲」是改編自台灣多起真人真事社會事件，由於片中特教學生群體校園霸凌，和台南
某特教學校所發生的事件雷同，讓人引發聯想，受到討論，但導演柯貞年表示，非針對單
一事件，而是多起霸凌事件所改編，所以片中發生的欺凌狀況可能也都發生在你我身邊，
引起觀眾共感。

再來「無聲」所探討的議題面向多，廣至校園體制、霸凌、家庭教育、聾人與社會連結的
問題，小至成長、愛情，電影故事深入淺出，更有共鳴，而片中角色沒有絕對的善與惡，
角色立體不單調，讓觀眾思考產生討論。

在角色立體的設定下，每個演員也都表現出彩，演出校長的金馬影后楊貴媚，以及飾演老
師的金馬男配劉冠廷都在水準上，而挑大樑演男女主角的新人劉子銓、陳姸霏更有大將之
風，陳姸霏甚至一舉角逐本屆金馬新人，其中成為首次入圍金馬的南韓演員金玄彬，在片
中演出有難言之隱的霸凌者角色，一場天台戲，脆弱、痛苦、邪惡情緒同時爆發，被封為
得獎場，產生熱議。據知，他自知在台受到不少關注，正積極排除萬難來台參與金馬，更
傳訊息向劇組表示，就算因為疫情要隔離14天也非常樂意。

上周末柯貞年攜劉冠廷、劉子銓、陳姸霏勤跑映後座談，更有觀眾看完立刻買票2刷映後
場，只為獲得再次提問的機會，也讓四位影人直呼感動。

https://stars.udn.com/star/story/10090/4947596

--
※ 發信站: 批踢踢實業坊(ptt.cc), 來自: 180.176.64.76 (臺灣)
※ 文章網址: https://www.ptt.cc/bbs/movie/M.1603147142.A.BEC.html
"
